Ward,Year,Month,Burglary Cases,Codes,Borough,Population,Hectares,Square Kilometres,Population per hectare,Population per square kilometre,Census population (2011),Police Workforce,LAD code,Mean Income (£),Median Income (£)
Brunswick Park,2011,2.0,36.0,E05000043,Barnet,16454.0,317.4,3.174,51.650913673598,5183.994959042218,16394.000000000004,50572.0,E09000003,"52,420","39,130"
Brunswick Park,2011,3.0,25.0,E05000043,Barnet,16454.0,317.4,3.174,51.650913673598,5183.994959042218,16394.000000000004,50572.0,E09000003,"52,420","39,130"
Brunswick Park,2011,11.0,43.0,E05000043,Barnet,16454.0,317.4,3.174,51.650913673598,5183.994959042218,16394.000000000004,50572.0,E09000003,"52,420","39,130"
Burnt Oak,2011,2.0,15.0,E05000044,Barnet,18279.0,206.4,2.064,88.2606589147287,8856.10465116279,18217.000000000004,50572.0,E09000003,"38,100","28,800"
Burnt Oak,2011,3.0,13.0,E05000044,Barnet,18279.0,206.4,2.064,88.2606589147287,8856.10465116279,18217.000000000004,50572.0,E09000003,"38,100","28,800"
Burnt Oak,2011,11.0,9.0,E05000044,Barnet,18279.0,206.4,2.064,88.2606589147287,8856.10465116279,18217.000000000004,50572.0,E09000003,"38,100","28,800"
Childs Hill,2011,2.0,43.0,E05000045,Barnet,20112.0,308.9,3.089,64.90449983813532,6510.844933635481,20049.0,50572.0,E09000003,"51,310","38,380"
Childs Hill,2011,3.0,51.0,E05000045,Barnet,20112.0,308.9,3.089,64.90449983813532,6510.844933635481,20049.0,50572.0,E09000003,"51,310","38,380"
Childs Hill,2011,11.0,46.0,E05000045,Barnet,20112.0,308.9,3.089,64.90449983813532,6510.844933635481,20049.0,50572.0,E09000003,"51,310","38,380"
East Barnet,2011,2.0,12.0,E05000048,Barnet,16195.0,375.2,3.752,43.0090618336887,4316.36460554371,16136.999999999998,50572.0,E09000003,"52,390","39,120"
East Barnet,2011,3.0,10.0,E05000048,Barnet,16195.0,375.2,3.752,43.0090618336887,4316.36460554371,16136.999999999998,50572.0,E09000003,"52,390","39,120"
East Barnet,2011,11.0,14.0,E05000048,Barnet,16195.0,375.2,3.752,43.0090618336887,4316.36460554371,16136.999999999998,50572.0,E09000003,"52,390","39,120"
East Finchley,2011,2.0,24.0,E05000049,Barnet,16050.0,252.4,2.524,63.34786053882724,6358.954041204437,15988.999999999996,50572.0,E09000003,"54,290","40,380"
East Finchley,2011,3.0,17.0,E05000049,Barnet,16050.0,252.4,2.524,63.34786053882724,6358.954041204437,15988.999999999996,50572.0,E09000003,"54,290","40,380"
East Finchley,2011,11.0,26.0,E05000049,Barnet,16050.0,252.4,2.524,63.34786053882724,6358.954041204437,15988.999999999996,50572.0,E09000003,"54,290","40,380"
Edgware,2011,2.0,29.0,E05000050,Barnet,16787.0,556.0,5.56,30.086330935251798,3019.244604316547,16728.0,50572.0,E09000003,"50,630","37,920"
Edgware,2011,3.0,15.0,E05000050,Barnet,16787.0,556.0,5.56,30.086330935251798,3019.244604316547,16728.0,50572.0,E09000003,"50,630","37,920"
Edgware,2011,11.0,47.0,E05000050,Barnet,16787.0,556.0,5.56,30.086330935251798,3019.244604316547,16728.0,50572.0,E09000003,"50,630","37,920"
Finchley Church End,2011,2.0,46.0,E05000051,Barnet,15778.0,270.9,2.7089999999999996,58.010335917312666,5824.289405684755,15715.0,50572.0,E09000003,"60,390","44,300"
Finchley Church End,2011,3.0,49.0,E05000051,Barnet,15778.0,270.9,2.7089999999999996,58.010335917312666,5824.289405684755,15715.0,50572.0,E09000003,"60,390","44,300"
Finchley Church End,2011,11.0,38.0,E05000051,Barnet,15778.0,270.9,2.7089999999999996,58.010335917312666,5824.289405684755,15715.0,50572.0,E09000003,"60,390","44,300"
Garden Suburb,2011,2.0,14.0,E05000052,Barnet,15990.0,473.1,4.731,33.66941450010568,3379.835129993659,15929.0,50572.0,E09000003,"73,350","52,090"
Garden Suburb,2011,3.0,21.0,E05000052,Barnet,15990.0,473.1,4.731,33.66941450010568,3379.835129993659,15929.0,50572.0,E09000003,"73,350","52,090"
Garden Suburb,2011,11.0,9.0,E05000052,Barnet,15990.0,473.1,4.731,33.66941450010568,3379.835129993659,15929.0,50572.0,E09000003,"73,350","52,090"
Golders Green,2011,2.0,15.0,E05000053,Barnet,18880.0,297.8,2.978,63.1900604432505,6339.825386165211,18818.0,50572.0,E09000003,"53,960","40,160"
Golders Green,2011,3.0,28.0,E05000053,Barnet,18880.0,297.8,2.978,63.1900604432505,6339.825386165211,18818.0,50572.0,E09000003,"53,960","40,160"
Golders Green,2011,11.0,7.0,E05000053,Barnet,18880.0,297.8,2.978,63.1900604432505,6339.825386165211,18818.0,50572.0,E09000003,"53,960","40,160"
Hendon,2011,2.0,22.0,E05000055,Barnet,18525.0,284.0,2.84,65.04225352112677,6522.8873239436625,18472.0,50572.0,E09000003,"50,660","37,940"
Hendon,2011,3.0,28.0,E05000055,Barnet,18525.0,284.0,2.84,65.04225352112677,6522.8873239436625,18472.0,50572.0,E09000003,"50,660","37,940"
Hendon,2011,11.0,25.0,E05000055,Barnet,18525.0,284.0,2.84,65.04225352112677,6522.8873239436625,18472.0,50572.0,E09000003,"50,660","37,940"
High Barnet,2011,2.0,13.0,E05000056,Barnet,15364.0,830.9,8.309,18.422192802984714,1849.0793115898425,15307.0,50572.0,E09000003,"58,570","43,150"
High Barnet,2011,3.0,32.0,E05000056,Barnet,15364.0,830.9,8.309,18.422192802984714,1849.0793115898425,15307.0,50572.0,E09000003,"58,570","43,150"
High Barnet,2011,11.0,27.0,E05000056,Barnet,15364.0,830.9,8.309,18.422192802984714,1849.0793115898425,15307.0,50572.0,E09000003,"58,570","43,150"
Mill Hill,2011,2.0,9.0,E05000057,Barnet,18523.0,938.7,9.387,19.655907105571533,1973.2608927239799,18451.0,50572.0,E09000003,"55,650","41,270"
Mill Hill,2011,3.0,12.0,E05000057,Barnet,18523.0,938.7,9.387,19.655907105571533,1973.2608927239799,18451.0,50572.0,E09000003,"55,650","41,270"
Mill Hill,2011,11.0,14.0,E05000057,Barnet,18523.0,938.7,9.387,19.655907105571533,1973.2608927239799,18451.0,50572.0,E09000003,"55,650","41,270"
West Finchley,2011,2.0,6.0,E05000061,Barnet,16594.0,216.1,2.161,76.50624710782049,7678.852383155946,16533.000000000007,50572.0,E09000003,"55,800","41,370"
West Finchley,2011,3.0,10.0,E05000061,Barnet,16594.0,216.1,2.161,76.50624710782049,7678.852383155946,16533.000000000007,50572.0,E09000003,"55,800","41,370"
West Finchley,2011,11.0,5.0,E05000061,Barnet,16594.0,216.1,2.161,76.50624710782049,7678.852383155946,16533.000000000007,50572.0,E09000003,"55,800","41,370"
